作答ID,用户ID,开始时间,结束时间,作答时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,音乐A,您对音频A的感受评价是？,音乐B,您对音频B的感受评价是？,音乐C,您对音频C的感受评价是？,音乐D,您对音频D的感受评价是？,音乐E,您对音频E的感受评价是？,音乐F,您对音频F的感受评价是？,音乐G,您对音频G的感受评价是？,音乐H,您对音频H的感受评价是？,音乐I,您对音频I的感受评价是？,音乐J,您对音频J的感受评价是？,音乐Z,您对音频Z的感受评价是？,音乐K,您对音频K的感受评价是？,音乐L,您对音频L的感受评价是？,音乐M,您对音频M的感受评价是？,音乐N,您对音频N的感受评价是？,音乐O,您对音频O的感受评价是？,音乐P,您对音频P的感受评价是？,在刚才的音频片段中，你是否听到了人声演唱或说唱？如果有，请判断主要是男声还是女声。,音乐Q,您对音频Q的感受评价是？,音乐R,您对音频R的感受评价是？,音乐S,您对音频S的感受评价是？,音乐T,您对音频T的感受评价是？,音乐U,您对音频U的感受评价是？,音乐V,您对音频V的感受评价是？,音乐v,您对音频v的感受评价是？,音乐W,您对音频W的感受评价是？,音乐X,您对音频X的感受评价是？,音乐Y,您对音频Y的感受评价是？,下面是一些描述人们性格特点的句子，请根据每个句子与您的性格相符程度选择相应的数字。??例如：“在集体活动中，我是个活跃分子”非常恰当的描述您，那么请您在“6=完全同意”上画圈，依此类推。每个人的性格各不相同，所以答案没有对错之分，请根据您的实际情况作答。1=完全不符合，2=大部分不符合，3=有点不符合，4=有点符合，5=大部分符合，6=完全符合,我常感到害怕,一旦确定了目标，我会坚持努力地实现它,我觉得大部分人基本上是心怀善意的,我头脑中经常充满生动的画面,我对人多的聚会感到乏味,此题请选择1,有时我觉得自己一无是处,我常常是仔细考虑之后才做出决定,我不太关心别人是否受到不公正的待遇,我是个勇于冒险，突破常规的人,在热闹的聚会上，我常常表现主动并尽情玩耍,别人一句漫不经心的话，我常会联系在自己身上,别人认为我是个慎重的人,我时常觉得别人的痛苦与我无关,我喜欢冒险,我尽量避免参加人多的聚会和嘈杂的环境,在面对压力时，我有种快要崩溃的感觉,我喜欢一开头就把事情计划好,我是那种只照顾好自己，不替别人担忧的人,我对许多事情有着很强的好奇心,有我在的场合一般不会冷场,我常担忧一些无关紧要的事情,我工作或学习很勤奋,虽然社会上有些骗子，但我觉得大部分人还是可信的,我身上具有别人没有的冒险精神,在一个团体中，我希望处于领导地位,我常常感到内心不踏实,我是个倾尽全力做事的人,当别人向我诉说不幸时，我常感到难过,我渴望学习一些新东西，即使它们与我的日常生活无关,别人多认为我是一个热情和友好的人,我常担心有什么不好的事情要发生,在工作上，我常只求能应付过去便可,尽管人类社会存在着一些阴暗的东西（如战争、罪恶、欺诈），我仍然相信人性总的来说是善良的,我的想象力相当丰富,我喜欢参加社交与娱乐聚会,我很少感到忧郁或沮丧,做事讲究逻辑和条理是我的一个特点,我常为那些遭遇不幸的人感到难过,我很愿意也很容易接受那些新事物、新观点、新想法,我希望成为领导者而不是被领导者,请问您在音乐知识或演奏技能方面的熟悉程度如何？,您对音乐的接触频率是？,您的性别是？,您的年龄是？,您的主要职业是？,您从小到18岁主要在哪个城市/地区生活？,您目前或过去半年主要居住地是哪里？,,
bNqo40XYDYl,KLOWVoYL,2025/3/22 20:35,2025/3/22 20:55,1217,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,183.95.228.24,114.298545,29.847461,湖北省,咸宁市,MOBILE,Android,Chrome,393px*873px,"S2,test2,U4,U1,S1,C2,I2,M5,C4,test1,M1,M2,S4,C5,C1,M3,U2,U5,I5,M4,I3,I1,C3,S3,S5,I4,U3",1,4,1,2,1,4,1,3,1,6,1,3,1,6,1,5,1,5,1,5,1,5,1,5,1,6,1,4,1,6,1,5,1,5,出现了男声,1,4,1,5,1,1,1,2,1,1,1,5,1,4,1,3,1,2,1,6,1,2,5,4,5,4,1,2,4,3,5,3,2,3,3,5,4,2,3,3,6,4,1,5,4,5,5,3,4,4,5,4,1,2,4,5,3,4,3,2,5,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里有3~5天会听音乐，每次时长不限,男,25-34岁,普通职员(公司/企业/事业单位/党政机关),湖北省咸宁市,咸宁市,1,0
bNqoVr9njmJ,me3NNwnL,2025/3/22 20:10,2025/3/22 20:28,1104,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,183.209.89.168,120.958952,31.92805,江苏省,南通市,COMPUTER,Windows,Chrome,1536px*864px,"S5,U2,M2,C2,C3,C5,U3,C1,U4,I2,I4,I1,M3,S3,M5,U1,S4,C4,U5,M1,M4,S1,test1,I3,I5,S2,test2",1,5,1,2,1,6,1,1,1,1,1,4,1,7,1,5,1,4,1,6,1,7,1,3,1,5,1,3,1,5,1,2,1,5,出现了男声,1,1,1,2,1,2,1,2,1,3,1,5,1,6,1,5,1,2,1,7,1,1,6,6,5,1,1,1,4,2,5,5,2,4,2,5,1,2,6,1,5,6,2,4,4,5,6,1,4,6,4,5,2,1,6,6,5,6,6,5,6,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,女,18-25岁,普通职员(公司/企业/事业单位/党政机关),江苏省南京市,江苏省南通市,-1,-1
vN9wBkpY6Db,0eyXaXBL,2025/3/22 20:01,2025/3/22 20:19,1076,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,10.189.130.158,113.451523,23.110125,广东省,广州市,MOBILE,Android,Chrome,360px*804px,"M4,I2,S3,M2,U2,M1,I5,M3,I3,C2,I4,test2,I1,U5,C4,C1,C3,M5,U4,S1,U1,test1,S5,S4,U3,C5,S2",1,5,1,4,1,4,1,5,1,4,1,4,1,4,1,6,1,4,1,5,1,6,1,3,1,5,1,5,1,4,1,3,1,4,出现了男声,1,1,1,3,1,1,1,3,1,4,1,5,1,5,1,4,1,4,1,5,1,2,4,5,4,3,1,2,5,3,4,3,4,4,2,4,4,4,4,2,6,3,2,4,4,3,3,3,4,5,6,4,3,3,3,4,4,3,5,5,5,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),广州,广州,0,-1
lxOAk1ngp04,5Lw2nqn7,2025/3/22 19:43,2025/3/22 20:03,1191,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,220.205.249.200,117.147973,31.772541,安徽省,合肥市,MOBILE,Android,Chrome,360px*800px,"C5,S2,test1,M4,S1,U1,U4,S3,I1,C2,U5,U3,C1,I4,S5,M2,test2,C3,I5,S4,M3,M1,M5,C4,I3,U2,I2",1,5,1,5,1,4,1,4,1,5,1,6,1,5,1,5,1,5,1,6,1,6,1,3,1,5,1,3,1,5,1,4,1,2,出现了男声,1,1,1,2,1,2,1,2,1,3,1,4,1,3,1,3,1,4,1,5,1,2,5,5,4,3,1,3,5,3,3,4,2,4,3,2,3,4,5,3,4,3,2,4,5,3,2,2,4,5,5,4,2,2,5,3,3,4,4,4,5,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,男,25-34岁,普通职员(公司/企业/事业单位/党政机关),合肥,合肥,1,0
mn9NgnVQG5p,DMxydQJ7,2025/3/22 19:12,2025/3/22 19:38,1514,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,39.162.189.107,112.979851,32.674351,河南省,南阳市,MOBILE,Android,WeChat,360px*780px,"I1,U2,C4,M3,C2,C5,I3,I4,test1,U3,M1,M5,S3,M4,U1,M2,S1,U5,U4,S5,I5,C1,I2,C3,S4,test2,S2",1,6,1,5,1,4,1,5,1,6,1,6,2,7,1,6,1,6,1,5,1,6,1,6,1,7,1,5,1,6,1,6,1,5,出现了男声,1,6,1,5,1,5,1,6,1,6,1,5,1,6,1,6,1,5,1,6,1,1,6,5,5,2,1,1,5,1,5,5,2,5,2,6,2,1,5,2,5,5,2,5,5,5,5,2,6,5,5,6,2,1,5,5,5,5,6,6,5,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里1~2天会听音乐,女,35-44岁,领导干部(公司/企业/事业单位/党政机关),广州,广州,-1,-1
mn9Nv4Qmonx,37KZ5RPM,2025/3/22 18:59,2025/3/22 19:17,1080,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,223.160.226.48,114.004029,22.732345,广东省,广州市,MOBILE,Android,Chrome,361px*801px,"I4,S5,U4,S4,S2,M2,C4,C1,U5,I5,U2,I1,M5,test1,I3,S1,M4,M3,C3,test2,U1,I2,C2,U3,M1,S3,C5",1,7,63,5,57,6,1,6,1,6,1,7,1,5,1,5,1,5,1,7,1,7,1,5,121,6,34,5,2,7,1,4,23,6,出现了男声,1,6,1,7,1,2,1,7,30,6,143,7,1,6,1,6,1,6,1,7,1,3,5,5,5,2,1,1,5,1,5,5,4,5,1,5,1,1,6,1,6,6,3,6,5,5,6,2,6,5,5,5,5,1,6,6,6,5,6,4,6,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,男,25-34岁,工厂技术人员/工厂主管,河南省驻马店市,深圳市龙华区,1,0
nN9ZbG0Zdla,5LmgBR4M,2025/3/22 18:47,2025/3/22 19:02,865,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,42.84.232.34,122.329639,42.210491,辽宁省,阜新市,COMPUTER,Windows,Chrome,780px*360px,"C2,M1,C5,I1,U2,M3,I3,I5,S1,U3,M5,I2,C3,S2,test2,S5,S4,M2,test1,C4,U1,S3,I4,M4,U5,U4,C1",4,2,1,1,1,2,1,2,1,1,1,2,3,1,1,2,1,2,1,3,1,2,1,3,1,2,1,2,1,1,1,2,1,6,出现了男声,1,6,1,6,1,6,1,6,1,6,1,6,3,5,4,6,1,6,1,6,1,1,5,6,6,2,1,1,5,1,5,5,2,5,1,5,1,2,5,2,5,6,1,5,6,6,6,1,6,5,6,6,1,1,6,6,5,5,6,5,5,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,女,25-34岁,工厂技术人员/工厂主管,湖南,河北,1,1
mn9NbN6Wjog,5LmawyAL,2025/3/22 18:47,2025/3/22 19:00,800,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,42.84.233.47,123.908078,40.873795,辽宁省,本溪市,COMPUTER,Windows,Chrome,748px*360px,"C1,C3,U1,test2,S5,M4,M5,U4,I4,M2,U2,I3,M1,S2,I5,test1,S4,M3,I1,U5,S1,I2,C4,C5,U3,S3,C2",3,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,3,1,2,1,3,1,3,1,2,1,1,1,2,1,3,1,6,出现了男声,1,6,1,6,1,6,1,7,1,5,1,5,2,6,4,6,1,6,1,6,1,2,6,5,5,1,1,2,6,2,5,6,2,5,2,6,1,2,5,1,5,5,1,5,5,5,6,1,6,5,6,5,1,1,5,6,6,5,6,5,5,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),河北,辽宁,-1,-1
oB1Gbd4WB1n,xMoo95NM,2025/3/22 18:32,2025/3/22 18:59,1634,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,39.144.168.74,116.008225,29.675676,江西省,九江市,MOBILE,Android,Chrome,355px*793px,"I5,M5,C3,I4,U5,M4,C1,C2,I3,U3,U2,S4,S3,C5,test2,M1,S2,M3,U1,S1,S5,U4,M2,test1,I1,I2,C4",1,5,1,5,1,2,1,6,1,7,1,5,1,5,1,3,1,7,1,6,1,6,1,5,1,3,1,5,2,5,1,5,1,6,出现了男声,1,5,1,1,1,1,1,5,1,3,1,5,1,6,1,6,1,5,1,3,1,6,4,6,5,5,1,5,6,5,3,2,5,6,5,3,5,5,5,3,3,2,5,5,5,4,2,6,6,5,6,5,5,5,5,3,2,5,4,5,5,2,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，且每天超过 2 小时,女,18-25岁,初高中学生/大学生/研究生/博士,九江,九江,-1,0
XOAyljGR11d,37KJn2vM,2025/3/22 18:34,2025/3/22 18:59,1457,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,112.17.235.99,119.92298,27.852333,浙江省,温州市,MOBILE,Android,Chrome,360px*800px,"M1,I4,S3,S2,I5,I3,S1,C2,I2,C5,U3,S5,U5,C1,I1,M3,M5,U2,S4,test1,C3,C4,U4,U1,test2,M4,M2",1,4,1,3,1,5,1,3,1,6,1,5,1,7,1,5,1,4,1,6,1,7,1,6,2,5,1,4,1,5,1,4,2,4,出现了男声,3,3,1,3,1,4,1,3,1,3,1,4,1,5,1,5,1,4,1,4,1,4,4,5,4,4,1,2,5,2,2,3,4,4,3,3,4,3,5,2,3,3,4,5,5,3,2,3,5,4,4,3,4,3,4,4,3,3,5,5,3,3,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里有3~5天会听音乐，每次时长不限,女,18-25岁,普通职员(公司/企业/事业单位/党政机关),浙江温州,浙江温州,-1,-1
